Designator,Mid X,Mid Y,Rotation,Layer
C1,163.068,-122.3772,0.0,top
C10,109.2858,-124.3688,90.0,top
C11,105.6282,-124.3688,90.0,top
C12,173.228,-101.6,-90.0,top
C2,143.3068,-68.6308,90.0,top
C3,143.3068,-57.2008,90.0,top
C4,129.6416,-110.9218,-90.0,top
C5,108.3926,-114.8842,180.0,top
C6,101.1936,-123.3932,90.0,top
C7,129.6416,-102.402,-90.0,top
C8,104.2562,-46.482,0.0,top
C9,98.2726,-106.4876,90.0,top
D1,178.562,-40.2336,-90.0,top
D10,143.007,-93.97,90.0,top
D11,137.16,-93.98,90.0,top
D12,132.08,-93.98,90.0,top
D13,127.0,-93.98,90.0,top
D14,121.92,-93.98,90.0,top
D15,116.84,-93.98,90.0,top
D16,111.76,-93.98,90.0,top
D17,106.68,-93.975,90.0,top
D18,101.2952,-94.0308,90.0,top
D19,178.4858,-27.4272,-90.0,top
D2,97.0026,-135.4632,90.0,top
D20,173.4058,-27.4272,-90.0,top
D21,168.3258,-27.4272,-90.0,top
D22,163.2458,-27.4272,-90.0,top
D23,158.1658,-27.4272,-90.0,top
D24,153.0858,-27.4272,-90.0,top
D25,148.0058,-27.4272,-90.0,top
D26,142.9258,-27.4272,-90.0,top
D27,135.636,-27.3764,-90.0,top
D28,129.3368,-27.4272,-90.0,top
D29,122.8598,-27.4272,-90.0,top
D3,178.3372,-93.97,90.0,top
D30,117.7798,-27.4272,-90.0,top
D31,112.6998,-27.4272,-90.0,top
D32,107.569,-27.4272,-90.0,top
D33,97.9424,-27.4272,-90.0,top
D34,92.71,-27.4272,-90.0,top
D35,85.72,-44.8056,0.0,top
D36,85.72,-52.872,0.0,top
D37,85.72,-63.0936,0.0,top
D38,85.72,-70.652,0.0,top
D39,168.656,-126.4412,180.0,top
D4,173.2572,-93.97,90.0,top
D40,155.448,-126.4412,180.0,top
D41,140.716,-126.4412,180.0,top
D42,122.6566,-126.4412,180.0,top
D5,168.1772,-93.97,90.0,top
D6,163.0972,-93.97,90.0,top
D7,158.247,-93.97,90.0,top
D8,153.167,-93.97,90.0,top
D9,148.087,-93.97,90.0,top
J1,185.5819,-82.6516,0.0,top
J2,179.319,-65.1256,90.0,top
J3,187.8584,-65.1256,0.0,top
J4,154.4066,-134.2136,-90.0,top
J5,104.2162,-132.1562,90.0,top
J6,179.324,-73.5076,90.0,top
R1,144.5006,-104.9274,-90.0,top
R10,153.9748,-74.6398,-90.0,top
R11,150.6728,-74.6398,-90.0,top
R12,147.3708,-74.6398,-90.0,top
R13,139.4968,-74.6448,-90.0,top
R14,136.1948,-74.6448,-90.0,top
R15,132.8928,-74.6448,-90.0,top
R16,129.5908,-74.6448,-90.0,top
R17,126.2888,-74.6448,-90.0,top
R18,122.9868,-74.6448,-90.0,top
R19,119.6798,-74.6548,-90.0,top
R2,156.8196,-122.3772,180.0,top
R20,116.3778,-74.6548,-90.0,top
R21,170.4848,-46.4508,90.0,top
R22,167.1828,-46.4508,90.0,top
R23,163.8808,-46.4508,90.0,top
R24,160.5788,-46.4508,90.0,top
R25,157.2768,-46.4508,90.0,top
R26,153.9748,-46.4508,90.0,top
R27,150.6728,-46.4508,90.0,top
R28,147.3708,-46.4508,90.0,top
R29,84.5566,-112.8522,0.0,top
R3,178.562,-58.5216,90.0,top
R30,126.3396,-104.9782,-90.0,top
R31,139.4968,-46.4508,90.0,top
R32,136.1948,-46.4508,90.0,top
R33,132.8928,-46.4508,90.0,top
R34,129.5908,-46.4508,90.0,top
R35,126.2888,-46.4508,90.0,top
R36,122.9868,-46.4508,90.0,top
R37,119.6848,-46.4508,90.0,top
R38,116.3828,-46.4508,90.0,top
R39,96.012,-60.0456,90.0,top
R4,173.228,-114.3,-90.0,top
R40,92.71,-60.0456,90.0,top
R41,96.012,-63.413,-90.0,top
R42,92.71,-63.413,-90.0,top
R43,182.2342,-58.5216,90.0,top
R44,114.0206,-122.2756,0.0,top
R45,114.046,-135.128,0.0,top
R46,141.859,-122.2248,180.0,top
R47,124.206,-130.9116,180.0,top
R48,94.742,-116.586,180.0,top
R49,84.6074,-101.6254,0.0,top
R5,170.4848,-74.6398,-90.0,top
R50,84.5566,-105.3338,0.0,top
R51,94.742,-109.0422,180.0,top
R6,167.1828,-74.6398,-90.0,top
R7,163.8808,-74.6398,-90.0,top
R8,160.5788,-74.6398,-90.0,top
R9,157.2768,-74.6398,-90.0,top
RV1,151.1188,-147.9516,90.0,top
SW1,103.268,-148.042,180.0,top
SW2,86.106,-80.1116,0.0,top
SW3,176.42,-148.042,180.0,top
SW4,168.1546,-134.2317,0.0,top
SW5,143.654,-148.042,180.0,top
SW6,135.6426,-134.2571,0.0,top
SW7,123.698,-148.042,180.0,top
U1,148.3206,-101.7982,0.0,top
U10,102.4736,-101.8132,0.0,top
U2,161.808,-101.6712,0.0,top
U3,170.3528,-62.2038,-90.0,top
U4,139.3648,-62.2088,-90.0,top
U5,170.3528,-50.5248,-90.0,top
U6,139.3698,-50.5148,-90.0,top
U7,102.9308,-50.1338,0.0,top
U8,133.0452,-101.7778,0.0,top
U9,115.0466,-101.7982,0.0,top
